,Seed,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
111,112,0.03144813179332768,5.4942896857687274e-05,0.007427891806214888,0.045492653376591606,0.38230327592029717,0.3362039851401553,0.35925363053022624,0.95,18.361702127659573,0.20939922918977197,-0.19569808166691946,0.16607621425515018,12.180251773792452,0.16892126573481367
112,113,2.897590182503088e-06,2.042802836287945e-07,0.0007487305709552805,1.4187058661164912e-09,0.5752380952380953,0.5536507936507936,0.5644444444444445,1.0,17.22,0.2715553234311282,-0.2457083260907353,0.5122032909702311,13.147303906124632,0.17214173564454252
113,114,0.05241951302331983,3.322064395082533e-05,0.01740188182235865,0.12438665287817782,0.29666119321291734,0.20443349753694579,0.25054734537493156,0.89,18.689655172413794,0.204670798469985,-0.1813326780030808,0.13974512118269178,12.91889851967085,0.19380368038913098
114,115,0.09380009316323046,6.0151463300988286e-05,0.08143103635385064,0.3316927631572014,0.2698412698412698,0.2606837606837607,0.26526251526251526,0.93,19.86263736263736,0.1938739765073197,-0.12995226570752388,0.07962113061727386,12.764792309890826,0.1629404361192409
115,116,0.00011309221695162361,3.094153009192459e-07,0.0008526087248742389,8.074110107858809e-06,0.5062111801242236,0.5327812284334023,0.5194962042788129,0.94,17.152173913043477,0.24402861350991412,-0.24867932798766623,0.3589159946414592,12.65678610092376,0.1526891063261189
116,117,0.0021691052893409338,5.146830616336961e-06,0.003926250977928067,2.5742107133935704e-05,0.39306169203076413,0.4895270823105874,0.44129438717067576,0.97,17.99484536082474,0.24110868675643668,-0.21176759413734839,0.342655872062347,13.045616802573647,0.16185973135322623
117,118,0.00040663145431287347,1.3153624982816738e-05,0.006965968628870463,0.00020247817513759024,0.48654244306418215,0.4675638371290545,0.47705314009661837,0.94,18.179347826086957,0.23747319516053927,-0.2036857896447222,0.3224110015654334,13.491056119772205,0.1793419553807834
118,119,0.048188318140771486,2.0221259530707057e-05,0.03219910490078059,0.22938135598644024,0.30977982590885816,0.2613927291346646,0.28558627752176136,0.94,19.21505376344086,0.1976700024447738,-0.15831852105212987,0.10075996465925259,12.6710655596309,0.17181176638082096
119,120,0.0013220349785731395,0.0001773507873947549,0.001680065767554602,0.00410257788547804,0.38078351908139146,0.46386355960824055,0.42232353934481603,0.97,17.606382978723403,0.21826720021581764,-0.22878350240947373,0.2154590611843727,11.848752591770447,0.1347332671102678
120,121,0.0022777028536697633,0.001501693145716806,0.010876861294496106,0.0011726277026785524,0.3698947743891564,0.34983056893169245,0.3598626716604244,0.91,18.39887640449438,0.22761540406653405,-0.19406972815355744,0.26751616855055993,13.35327670414768,0.160278502196522
121,122,0.006471560639526147,1.9575073486436274e-05,0.003525778052952949,2.6271701825314213e-05,0.3787802840434419,0.514703425229741,0.44674185463659144,0.96,17.989473684210527,0.24826068350756922,-0.21200289094019592,0.3824830162605125,12.017745420258727,0.19649597115309728
122,123,0.0013067383718085134,1.0772958566071617e-06,0.002059459937456832,8.992873567870183e-07,0.3809523809523809,0.5158730158730158,0.4484126984126984,0.92,17.555555555555557,0.2558583296757056,-0.23100990787415254,0.42479183714428753,12.540477672198678,0.17390976963558355
123,124,0.00038829601452293315,0.0004057155322300858,0.015041886809555595,0.04879814447500517,0.4339477726574501,0.45494111623143885,0.4444444444444445,0.94,18.623655913978496,0.20689191392229792,-0.18422365890447054,0.15211379086728466,13.967446005788444,0.14406676600582566
124,125,0.005646892993905247,8.727374722831894e-08,0.005010806564149328,9.930492106646673e-08,0.3382936507936508,0.6061507936507937,0.47222222222222227,0.96,18.140625,0.25531386550685126,-0.20538197462193636,0.4217598932385157,12.670648317116282,0.1493239242922426
125,126,0.00015255479420628933,1.4217021727576276e-05,0.00043087492345115586,0.001931876194154641,0.4593042890915231,0.46386355960824044,0.46158392434988177,0.96,16.94148936170213,0.22544424070611735,-0.2579079924997503,0.25542566582215803,12.08587543440045,0.16499470502094496
126,127,0.0023572607688704273,0.001448346432497125,0.04002013454818359,0.044339760005029726,0.41244239631336405,0.43343573988735284,0.4229390681003584,0.95,19.274193548387096,0.20670049113928482,-0.15572800726689584,0.15104781963614988,14.078221594873659,0.13489382778302123
127,128,0.059198959973579754,2.484633165031747e-05,0.022632479202803986,4.282048407539739e-05,0.20993343573988732,0.5194572452636969,0.3646953405017921,0.93,19.021505376344088,0.24232827080259559,-0.1667965661674413,0.34944733902721403,12.073233965222547,0.1742443149873213
128,129,0.0002533778633643831,2.2556603288912982e-05,0.01005237558521247,7.758871276718784e-05,0.43008739076154806,0.4397182093811308,0.4349028000713394,0.9,18.308988764044944,0.2424667054636775,-0.19800709742059344,0.3502182366381588,13.869476958855852,0.18340427464045808
129,130,0.05973812489865578,0.0014238905791560362,0.018905757442321678,0.030813582175491783,0.3126293995859213,0.31538992408557626,0.31400966183574874,0.94,18.85326086956522,0.210731970408917,-0.17416621951496,0.17349781671957004,12.610498137653927,0.1561087289037478
130,131,0.009166765320630462,0.0005088960871670164,0.09072947804091593,0.10488553527976377,0.26190476190476186,0.30514504652435687,0.28352490421455934,0.88,19.816091954022987,0.203318309415943,-0.13199110509059747,0.132213549447394,14.340304695164784,0.1564954383811808
131,132,0.037740215657938725,0.0003447434575395014,0.07133287834896825,0.016270311748940152,0.3144841269841271,0.2936507936507936,0.30406746031746035,0.96,19.796875,0.21549092092937197,-0.13283286980705716,0.19999886463742342,13.199309113272117,0.17094225609053473
132,133,0.0012348617814820907,7.215221543132089e-07,0.00963686554874034,0.0003113037620977821,0.3422619047619048,0.564484126984127,0.4533730158730159,0.96,18.53125,0.23298142752754877,-0.18827133669389884,0.29739780826449447,12.376223108747677,0.166282588719824
