,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
825,826,2.0,5,80,0.01,0.1,0.2010925177483247,0.38275089774391363,0.024443415937133582,0.6334635750550701,0.2192844782486217,0.13364722926475917,0.17646585375669044,0.99,20.873737373737374,0.713014997660097,-0.14960102567633807,0.017282322072122085,11.849507391701014,0.2365393575293689
826,827,2.0,5,80,0.01,0.2,0.09694150255841416,0.09622515669507507,0.024132059318333288,0.35605948766837514,0.3484023091308236,0.25546792422148135,0.30193511667615247,0.99,20.882653061224488,0.7245389830886158,-0.14923779932359246,0.03372397714911305,10.77383475881479,0.24167041300155143
827,828,2.0,5,80,0.01,0.30000000000000004,0.10880401788739474,0.06502776774463633,0.0036931796633919763,0.5068413273626282,0.24374501992031872,0.3510756972111554,0.29741035856573705,1.0,19.83,0.7182549546250958,-0.1921230319753287,0.024758343763678543,11.670522696092064,0.2786750513111889
828,829,2.0,5,80,0.01,0.4,0.05738476831655954,0.07060026020049896,0.07654146555305436,0.20030812150070895,0.25337035695601434,0.30576683166324603,0.2795685943096302,0.99,21.67676767676768,0.7339672421466353,-0.11688545903770695,0.04717558938604376,11.090152409285338,0.25734020764201787
829,830,2.0,5,80,0.01,0.5,0.13297546976030883,0.2997316653214566,0.05561244756721692,0.6005735511418597,0.3002390438247011,0.299203187250996,0.2997211155378485,1.0,21.45,0.6871257379234232,-0.12612400584320727,-0.01965474986616948,11.412602682999177,0.28654623734805157
830,831,2.0,5,80,0.03,0.1,0.1635004803761363,0.3543185943658048,0.3110354959703028,0.3042559465489792,0.21610527586623204,0.26536279125920564,0.24073403356271883,0.99,26.217171717171716,0.6742706078015761,0.06809123535304352,-0.03799559355642527,13.196678801681719,0.2627920650629544
831,832,2.0,5,80,0.03,0.2,0.004342276844314887,0.649818786133269,0.256853622870749,0.9451561849807019,0.42895086321381143,0.1942532898708198,0.31160207654231564,0.99,26.38888888888889,0.6991586338118225,0.07508701689841123,-0.002487015231170565,11.578139353395443,0.23330801334273135
832,833,2.0,5,80,0.03,0.30000000000000004,0.025876168258344136,0.9630121023184619,0.5231932128052525,0.7169025203376675,0.3473379210431003,0.15803452855245687,0.2526862247977786,1.0,25.585858585858585,0.691807530690438,0.04237145025978009,-0.01297507968655333,11.86733067686847,0.21877348538482028
833,834,2.0,5,80,0.03,0.4,0.03433189566678722,0.30812658928315684,0.20868185074129716,0.17074005302448156,0.3039840637450199,0.19067729083665336,0.24733067729083663,1.0,26.615,0.666544109136906,0.08429881512741438,-0.04901924737699995,13.374762614715822,0.22383233572353953
834,835,2.0,5,80,0.03,0.5,0.2793192053860281,0.8501301189997443,0.5234021798220885,0.8523779252542426,0.2195259366574107,0.1965069016861846,0.20801641917179764,0.99,25.606060606060606,0.69621108518259,0.04319448338276454,-0.006692381350826265,13.937137498528617,0.22599208359725673
