,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,64.0,111143.0,43.0,0.020191673093856,0.005,0.001,0.00884,0.005,0.001,0.00884,0.002,0.0004,0.001885,0.001885,0.135558,0.0,0.925473,0.0365,0.009581,0.188346,40.5837,50.866,26.5,0.77256,0.1,0.30904,0.04,-57.8781,11.706868307722765,11.706868307722765,0.0,0.0,1.0,20.0,0.0,0.02645832677306681,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.512216635435098,5.0,0.0,17.0,0.2933701528645736,1.156987173353478,0.6452197602342306,3.0,1.17067,1112.0,0.0995130480478412
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,159.0,32184.0,84.0,0.0230607599586405,0.005,0.001,0.0222638,0.005,0.001,0.0222638,0.002,0.0004,0.001556,0.001556,0.171875,0.0,0.723179,0.052309,0.007175,0.148156,62.1396,47.1836,26.5,1.2684799999999998,0.1,0.50736,0.04,-57.753,13.735354406182182,13.735354406182182,0.0,0.0,1.0,20.0,0.0,0.05210817138431192,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.259640925897322,5.0,0.0,20.5,0.1199717598802492,1.216302418346684,0.2043567582201028,1.0,0.167934,322.0,0.0645137563559439
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,55.0,11886.0,86.0,0.0273241434245991,0.005,0.001,0.0071448,0.005,0.001,0.0071448,0.002,0.0004,0.001002,0.001002,0.121002,0.0,0.861303,0.02983,0.007993,0.205287,27.8888,56.1018,26.5,0.07592,0.1,0.0304,0.04,-56.9198,12.633088474269822,12.633088474269822,0.0,0.0,1.0,20.0,0.0,0.041128439737622535,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089356951797674,5.0,0.0,24.5,0.1629387526526152,2.7846080381833844,-0.1124381561657548,3.0,0.331069,119.0,0.3723234168271805
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,35.0,130003.0,3.0,0.0428643633992602,0.005,0.001,0.0051064,0.005,0.001,0.0051064,0.002,0.0004,0.002108,0.002108,0.185947,0.0,0.871615,0.072568,0.006097,0.144292,50.1,51.7833,26.5,0.1447999999999999,0.1,0.05792,0.04,-56.2301,9.913905508649467,9.913905508649467,0.0,0.0,1.0,20.0,0.0,0.03297667321333388,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.871128421430975,5.0,0.0,23.0,0.0840764170713814,1.0000627811570215,-0.2432342527365462,1.0,0.336105,1301.0,1.0859205236456748
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,111.0,61528.0,28.0,0.0355037578049634,0.005,0.001,0.0029822,0.005,0.001,0.0029822,0.002,0.0004,0.001863,0.001863,0.145005,0.0,0.635799,0.020523,0.010041,0.22912,38.5898,42.7146,26.5,0.42232,0.1,0.16888,0.04,-59.3354,8.709916442733071,8.709916442733071,0.0,0.0,1.0,20.0,0.0,0.02578825171782364,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328360427399495,5.0,0.0,21.0,0.3058831061882089,0.8867815666990747,0.673371669790429,3.0,0.656038,616.0,0.020218993987553
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,94.0,54745.0,45.0,0.0097034135086539,0.005,0.001,0.0163254,0.005,0.001,0.0163254,0.002,0.0004,0.001747,0.001747,0.109628,0.0,0.688839,0.046144,0.007535,0.267334,26.1469,49.9286,26.5,0.5136799999999999,0.1,0.20544,0.04,-57.5881,13.124201476749302,13.124201476749302,0.0,0.0,1.0,20.0,0.0,0.10287842888442958,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97070869569117,5.0,0.0,20.5,0.1727520956676436,1.2322270814246383,0.3612935028005978,2.0,0.337206,548.0,0.0374540195345945
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,34.0,66402.0,2.0,0.0414211801793614,0.005,0.001,0.0124488,0.005,0.001,0.0124488,0.002,0.0004,0.005075,0.005075,0.199406,0.0,0.697961,0.043449,0.004988,0.116859,47.9974,33.1802,26.5,0.0519199999999999,0.1,0.02072,0.04,-58.9593,9.950274101018875,9.950274101018875,0.0,0.0,1.0,20.0,0.0,0.09080843340247945,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.702169303118089,5.0,0.0,24.0,0.1685231045542306,1.4327673761885136,0.2504689209474665,1.0,0.220953,665.0,0.3990539296554431
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,228.0,19026.0,26.0,0.0385873042662292,0.005,0.001,0.005434,0.005,0.001,0.005434,0.002,0.0004,0.007687,0.007687,0.093381,0.0,0.925858,0.031392,0.009267,0.211671,43.6374,58.8045,26.5,0.0664,0.1,0.02656,0.04,-54.7709,6.633553042905001,6.633553042905001,0.0,0.0,1.0,20.0,0.0,0.03850417020534641,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420112292138825,5.0,0.0,23.0,0.0728489273615316,1.43846253282372,0.0251408042820914,2.0,0.195196,191.0,0.1206325382833021
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,162.0,88869.0,69.0,0.0235025449346386,0.005,0.001,0.0135018,0.005,0.001,0.0135018,0.002,0.0004,0.002016,0.002016,0.143927,0.0,0.69664,0.052407,0.011052,0.198369,49.9364,31.6461,26.5,0.13912,0.1,0.0556,0.04,-56.9479,12.50722612873492,12.50722612873492,0.0,0.0,1.0,20.0,0.0,0.08206099042690349,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19932112599476,5.0,0.0,20.5,0.2290948841361173,1.29957384052861,0.300985533977597,1.0,0.225382,889.0,0.1593850824098989
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,226.0,12688.0,88.0,0.0189393324369894,0.005,0.001,0.0093392,0.005,0.001,0.0093392,0.002,0.0004,0.005783,0.005783,0.118767,0.0,0.74727,0.036093,0.009167,0.203949,33.9212,32.176,26.5,0.07776,0.1,0.03112,0.04,-56.8906,8.735203377644368,8.735203377644368,0.0,0.0,1.0,20.0,0.0,0.03598539953117204,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6942270080237405,5.0,0.0,21.0,0.1156120702609139,2.05584541594504,-0.3367058527926537,1.0,0.09284,127.0,0.1747465316701866
