,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,gTON_STN_MEAN_nS_pF,gTON_STN_SIGMA,gTON_STN_THETA,gTON_CL_S_MEAN_nS_pF,gTON_CL_S_SIGMA,gTON_CL_S_THETA,gTON_CL_D_MEAN_nS_pF,gTON_CL_D_SIGMA,gTON_CL_D_THETA,gKCC2_S_nS_pF,gKCC2_D_nS_pF,gTRPC3_nS_pF,gHCN_nS_pF,gCA_nS_pF,gL_nS_pF,gSK_nS_pF,gNAP_nS_pF,gNAF_nS_pF,gKDR_nS_pF,gSD_nS,soma_noise_intensity,soma_noise_intensity_theta,dend_noise_intensity,dend_noise_intensity_theta,Eleak_mV,CL_in_S,CL_in_D,Iapp,Iapp_dend,gpe_stim,gpe_stim_freqs,gpe_poisson,W_gpe,gpe_start_time,gpe_base_length,gpe_stim_length,gpe_post_length,str_stim,str_stim_freqs,str_poisson,W_str,str_start_time,str_base_length,str_stim_length,str_post_length,tausyn,tauexc,tausyn_dend,pre_exp_fr,pre_exp_cv,pre_exp_fr_zscore,pre_exp_cv_zscore,connections,total_weight,sim,rel_error
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,216.0,12499.0,99.0,0.0495092002890472,0.005,0.001,0.0032886,0.005,0.001,0.0032886,0.002,0.0004,0.003553,0.003553,0.090098,0.0,0.738179,0.040877,0.00875,0.174312,43.957,30.5623,26.5,0.05672,0.1,0.02272,0.04,-56.1126,7.245163336109433,7.245163336109433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.9739845796416247,5.0,1.0,1.0,1.0,0.0,5.0,47.87384066163995,11.5,0.1682809982308427,0.3461069019321245,0.0153514841665969,1.0,0.115171,125.0,0.0807423050556524
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,198.0,79301.0,1.0,0.0165999618127612,0.005,0.001,0.0171564,0.005,0.001,0.0171564,0.002,0.0004,0.002845,0.002845,0.103873,0.0,1.03845,0.048199,0.006811,0.22498,26.4192,53.4346,26.5,0.78608,0.1,0.3144,0.04,-56.588,12.286436151057778,12.286436151057778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.7218764148496873,5.0,1.0,1.0,1.0,0.0,5.0,18.75400278526407,14.0,0.4190266740930285,0.5455811758118222,1.2683512682241371,1.0,0.226099,794.0,0.0031636813669761
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,154.0,78338.0,38.0,0.0335845891535534,0.005,0.001,0.0187688,0.005,0.001,0.0187688,0.002,0.0004,0.004877,0.004877,0.125749,0.0,0.940776,0.048429,0.010012,0.17853,37.8195,45.6847,26.5,0.84152,0.1,0.33664,0.04,-58.1594,11.205184373238056,11.205184373238056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.2271118657297992,5.0,1.0,1.0,1.0,0.0,5.0,42.45573960820605,12.5,0.0584414759591098,0.4138199439413568,-0.9554411060123882,0.0,0.0,784.0,0.1349879172091372
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,164.0,21758.0,58.0,0.0239141679538447,0.005,0.001,0.0023519,0.005,0.001,0.0023519,0.002,0.0004,0.00094,0.00094,0.08992,0.0,0.39715,0.029465,0.011572,0.167639,30.68,25.5915,26.5,0.72,0.1,0.288,0.04,-55.3313,10.007600840116346,10.007600840116346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.470799859801986,5.0,1.0,1.0,1.0,0.0,5.0,40.46855618614753,12.5,0.1473167305482114,0.159284051568527,0.1393797118326423,1.0,0.065065,218.0,0.0847959576522426
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,117.0,43588.0,88.0,0.0323102795771336,0.005,0.001,0.0037932,0.005,0.001,0.0037932,0.002,0.0004,0.002118,0.002118,0.107309,0.0,0.713701,0.031538,0.009261,0.168477,38.2209,67.9345,26.5,0.8135199999999999,0.1,0.3254399999999999,0.04,-58.4093,9.033739684839476,9.033739684839476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.6243056602534147,5.0,1.0,1.0,1.0,0.0,5.0,46.56457596794268,12.5,0.2725913473417835,0.4052866646416463,0.5846549612211338,3.0,0.484799,436.0,0.0081467649532005
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,141.0,24121.0,21.0,0.0264054740215166,0.005,0.001,0.0248327,0.005,0.001,0.0248327,0.002,0.0004,0.001556,0.001556,0.111692,0.0,0.785676,0.037941,0.011605,0.242746,37.1989,36.0446,26.5,0.57104,0.1,0.2284,0.04,-56.0436,13.86296384508454,13.86296384508454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.24839138514949446,5.0,1.0,1.0,1.0,0.0,5.0,26.9970850278874,13.5,0.1086859170487177,0.337601707425912,-0.1698934610330177,1.0,0.059864,242.0,0.2015567140014074
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,61006.0,6.0,0.0140796995060945,0.005,0.001,0.0036859,0.005,0.001,0.0036859,0.002,0.0004,0.000878,0.000878,0.107612,0.0,0.49744,0.038593,0.012606,0.205416,34.2086,51.1983,26.5,0.09256,0.1,0.03704,0.04,-54.8263,11.430458809326645,11.430458809326645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.077171830537863,5.0,1.0,1.0,1.0,0.0,5.0,22.470965263689767,11.5,0.0793573006786904,0.423548662576226,-0.0486815412663126,1.0,0.137736,611.0,0.0383820043228952
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,191.0,22994.0,94.0,0.0321027755160907,0.005,0.001,0.0064902,0.005,0.001,0.0064902,0.002,0.0004,0.002208,0.002208,0.160091,0.0,0.287581,0.049332,0.010597,0.220027,28.9419,47.6055,26.5,1.1308,0.1,0.45232,0.04,-59.8925,10.468529944854229,10.468529944854229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.4274221383780565,5.0,1.0,1.0,1.0,0.0,5.0,26.350821604832127,13.5,0.2194457988656245,0.1428930342598565,0.0989465430755205,2.0,0.274919,230.0,0.0967323466453676
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,36.0,46360.0,60.0,0.0401800663257752,0.005,0.001,0.0168345,0.005,0.001,0.0168345,0.002,0.0004,0.004999,0.004999,0.106976,0.0,0.533834,0.030976,0.008963,0.134872,36.262,51.4034,26.5,0.97752,0.1,0.39096,0.04,-57.2387,10.846838588429286,10.846838588429286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.3732195058257948,5.0,1.0,1.0,1.0,0.0,5.0,36.153367996387104,12.0,0.0592225220220368,0.4748472663323413,-0.6802167909029855,0.0,0.0,464.0,0.0644464132600041
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,56.0,122806.0,6.0,0.0336183224377834,0.005,0.001,0.0160631,0.005,0.001,0.0160631,0.002,0.0004,0.00464,0.00464,0.120299,0.0,0.281659,0.028491,0.014497,0.186541,44.4114,54.3134,26.5,0.0872,0.1,0.03488,0.04,-58.573,10.922136422409638,10.922136422409638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.276139699135296,5.0,1.0,1.0,1.0,0.0,5.0,31.45196619166281,15.0,0.2374074746593366,0.6953163237692611,0.2949573459555362,1.0,0.353473,1229.0,0.0194928339354373
