,Sim,Wsnr,Heterogeneity,gKCC2,gGABA_tonic,current_noise,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,STD FR,STD CV
23,24,0.1,0.1,0.002,0.006,0.01,8.606568427033647e-22,1.3189896379966185e-09,2.1966677440539846e-17,6.90328013432247e-14,1.0478991596638656,0.7050420168067226,0.8764705882352941,0.87,8.74705882352941,0.3777237305112005,4.399614641822599,0.36222131711527683
24,25,0.1,0.1,0.003,0.001,0.001,1.9423957418710995e-17,0.0003447434575395014,1.5595641803196323e-15,0.37053494791949704,0.9880952380952381,0.23115079365079366,0.6096230158730159,0.98,10.432291666666666,0.1915860268596855,4.599377104376623,0.13690338161230914
25,26,0.1,0.1,0.003,0.001,0.01,1.6412216964048033e-18,0.0008910805872699165,5.622988466991037e-16,0.0002745228615019336,0.9240601503759398,0.3673350041771094,0.6456975772765245,0.98,10.126315789473685,0.23549784292097478,4.85037623123068,0.1774653574395697
26,27,0.1,0.1,0.003,0.002,0.001,5.373448526486832e-23,0.008323853617666566,5.7197315230475726e-18,0.02023152673993166,1.0082706766917293,0.3041771094402673,0.6562238930659983,0.97,9.294736842105262,0.2125352990065906,3.8234007574148636,0.15338499253746155
27,28,0.1,0.1,0.003,0.002,0.01,4.7617844992004405e-20,0.02068127029468222,9.331366314553551e-16,0.01578391145530775,0.9863221884498482,0.251097602161432,0.6187098953056401,0.96,10.212765957446809,0.21370514934979243,4.408942412931159,0.1510678921092815
28,29,0.1,0.1,0.003,0.003,0.001,6.805854101585e-27,3.2945425242928676e-05,8.977120274017907e-19,0.7376143169310153,1.0505952380952381,0.3640873015873015,0.7073412698412698,0.98,9.036458333333334,0.1845753330629083,3.450728177732523,0.17174602209608889
29,30,0.1,0.1,0.003,0.003,0.01,1.8653383956828208e-25,0.0025986051278697065,1.5136850388917146e-18,0.08956773769910827,1.0793650793650793,0.25824175824175827,0.6688034188034188,0.94,8.741758241758241,0.2061283929237699,3.6871939339270066,0.1824470826878565
30,31,0.1,0.1,0.003,0.004,0.001,9.020516579823075e-23,1.6905847424222314e-08,4.360627456709748e-18,0.23775080112667163,1.0501519756838906,0.26899696048632216,0.6595744680851063,0.94,9.170212765957446,0.19907191366704122,3.8019823996826454,0.20326013411433597
31,32,0.1,0.1,0.003,0.004,0.01,5.104324296978377e-21,0.040654526608423044,2.816201723356555e-17,0.208657997204023,1.0499231950844854,0.1651305683563748,0.6075268817204301,0.97,9.46236559139785,0.19730268298658493,3.9316995142869198,0.15021035024011747
32,33,0.1,0.1,0.003,0.005,0.001,5.519752172296906e-29,0.0006228735643446345,7.55527611750524e-21,0.0005315869689258027,1.2297410192147034,0.3917293233082707,0.810735171261487,0.97,8.06842105263158,0.24093416745483248,3.1950706493430827,0.22502809436497265
33,34,0.1,0.1,0.003,0.005,0.01,1.9897375460902943e-25,8.653578552699318e-06,7.597660918232293e-20,1.5198778075504386e-05,1.1188787571766294,0.5243161094224924,0.8215974332995609,0.95,8.388297872340425,0.2580158834268324,3.6583875178035754,0.23081142463588739
34,35,0.1,0.1,0.003,0.006,0.001,1.327898501023758e-29,2.67103185369104e-07,1.891294789658821e-20,0.0427098970355148,1.1876357560568085,0.3075187969924812,0.7475772765246449,0.98,8.221052631578948,0.21679474608644,3.4310622794771546,0.23958190812928962
35,36,0.1,0.1,0.003,0.006,0.01,8.725601120501893e-22,1.3165896455819625e-05,3.793248949367194e-18,6.624418062331031e-07,1.0889958979846621,0.5577849117174959,0.823390404851079,0.9,8.685393258426966,0.2840379024381964,4.5514425559079426,0.27958296863621024
36,37,0.1,0.1,0.004,0.001,0.001,3.061259156609013e-18,0.00012299479949060997,7.151920335639211e-16,0.9023813854751304,0.9863221884498482,0.14471462343802768,0.565518405943938,0.96,10.138297872340425,0.17794506465971796,4.589769066247761,0.13214675075857868
37,38,0.1,0.1,0.004,0.001,0.01,1.0563781187485191e-19,0.0006920351177742727,9.725038296289944e-16,0.36713831605309943,0.9661654135338346,0.1778613199665832,0.5720133667502089,0.97,10.263157894736842,0.1917672905736686,4.648056812579209,0.13848967640497734
38,39,0.1,0.1,0.004,0.002,0.001,1.165161294810616e-26,0.0016579398216691032,5.809858838849537e-18,0.4094023223676566,1.0054945054945055,0.12881562881562886,0.5671550671550671,0.93,9.016483516483516,0.19129154724732542,3.6595881512188613,0.15084531723587258
39,40,0.1,0.1,0.004,0.002,0.01,4.742898547248176e-21,0.0261538669849818,3.4467789152416264e-17,0.0023031094247772787,1.0288753799392096,0.22644376899696045,0.6276595744680851,0.97,9.542553191489361,0.2260716735313946,4.264935941792819,0.17510737435257787
40,41,0.1,0.1,0.004,0.003,0.001,3.541489602061076e-19,1.4110704292124168e-05,1.4521723466570143e-16,0.30415574821480634,0.988095238095238,0.15773809523809518,0.5729166666666666,0.97,9.963541666666666,0.19456729343107762,4.3668047002276795,0.1641967601951234
41,42,0.1,0.1,0.004,0.003,0.01,1.1113386477159988e-25,0.014041369617733538,1.8519889866481793e-19,0.003289999326986097,1.0714285714285714,0.3075187969924812,0.6894736842105262,0.95,8.647368421052631,0.22395398080724266,3.549554222723664,0.17272678774053893
42,43,0.1,0.1,0.004,0.004,0.001,2.111609190427736e-31,6.755420902919449e-06,1.630102063375714e-21,0.12495657317166114,1.3002781868761248,0.2997054491899852,0.799991818033055,0.99,7.958762886597938,0.20322247075313263,2.977293885715947,0.18244747867950303
43,44,0.1,0.1,0.004,0.004,0.01,7.746467985757064e-27,0.0210138208787984,8.391614278230547e-19,0.19848255291358252,1.2644300144300142,0.24855699855699856,0.7564935064935064,0.9,8.363636363636363,0.19842994438018174,3.872049663297376,0.15828069722490962
44,45,0.1,0.1,0.004,0.005,0.001,1.0509907960858277e-38,1.8661056034263943e-05,2.0013334960886994e-22,2.187651046794159e-05,1.4142345110087047,0.48771121351766505,0.9509728622631849,0.95,7.301075268817204,0.25448857554363485,2.156684762865824,0.2209764171275701
45,46,0.1,0.1,0.004,0.005,0.01,2.0440382140942334e-26,0.004070222904037062,2.1131661274253695e-20,0.0007909610694124002,1.2377501725327813,0.3416149068322981,0.7896825396825398,0.94,7.934782608695652,0.2340506010046151,4.114672441466892,0.19361363838200918
46,47,0.1,0.1,0.004,0.006,0.001,5.324050997006515e-30,2.4404423647922812e-05,1.423728450699412e-21,0.002031534500470476,1.3211233211233209,0.478021978021978,0.8995726495726495,0.94,7.434065934065934,0.23384619755031283,3.037502581022547,0.22059277603938973
47,48,0.1,0.1,0.004,0.006,0.01,2.2239802982533312e-27,0.0007843525073474474,1.235734415847604e-19,0.0017356342821891208,1.1174603174603175,0.3285714285714285,0.723015873015873,0.92,8.172222222222222,0.2279086365522641,3.560712406177473,0.17537452898334016
48,49,0.1,0.1,0.005,0.001,0.001,1.3002046180298239e-19,8.33557334717372e-05,3.8222971432811075e-16,0.8546613132070282,0.9477172312223859,0.13475699558173782,0.5412371134020619,0.99,10.216494845360824,0.18203825977001697,4.477841905009833,0.13881117929044512
49,50,0.1,0.1,0.005,0.001,0.01,7.520001785215531e-19,0.04754416274130619,5.255163596395415e-16,0.0035879992842371496,0.9672619047619049,0.23115079365079366,0.5992063492063493,0.98,10.208333333333334,0.22090587956702165,4.565875843934242,0.1535019285025437
50,51,0.1,0.1,0.005,0.002,0.001,6.217274524736824e-23,3.4053112055897235e-06,6.938385286049774e-18,0.23357476142770447,1.030612244897959,0.21428571428571427,0.6224489795918366,1.0,9.53061224489796,0.1972934986609127,3.9478852040478403,0.1719389018408654
51,52,0.1,0.1,0.005,0.002,0.01,3.755858661782942e-24,0.041273585481089836,1.9012451185285034e-18,0.9980826634207113,1.032236949762723,0.07290132547864506,0.552569137620684,0.98,9.195876288659793,0.17954491457973723,4.065543357144186,0.12553428553565535
52,53,0.1,0.1,0.005,0.003,0.001,1.4025600296134298e-27,0.003985291890740569,1.2185020400124181e-19,0.006662446662351803,1.0714285714285714,0.28273809523809523,0.6770833333333333,0.98,8.65625,0.22165949484324413,3.39294035768879,0.18259068572307227
53,54,0.1,0.1,0.005,0.003,0.01,3.504567072619742e-27,0.0031770791347367844,7.81138408236532e-19,0.021614195371850276,1.1013431013431012,0.2167277167277167,0.6590354090354089,0.95,8.648351648351648,0.21447700321255558,3.2288998104979263,0.17220124985684546
54,55,0.1,0.1,0.005,0.004,0.001,3.16919492384704e-31,0.002267385039312841,1.9370829584013812e-21,0.38354309021022204,1.2178039600720012,0.1759941089837997,0.6968990345279005,1.0,7.989690721649485,0.19206905038381755,2.987930516314977,0.1594732161470834
55,56,0.1,0.1,0.005,0.004,0.01,1.6135038423346627e-35,0.0021371429709269875,9.348831522597319e-22,0.0007166742025976359,1.2086883876357561,0.3075187969924812,0.7581035923141186,0.97,7.7105263157894735,0.23274354216516188,2.7952769821973305,0.18515898279119197
56,57,0.1,0.1,0.005,0.005,0.001,1.9809907113142855e-35,0.002216051527875423,4.335786378429847e-22,0.3301055743745229,1.310368118878757,0.18389057750759882,0.7471293481931779,0.98,7.51595744680851,0.19375361542718833,2.3694106993130197,0.16179683722269914
57,58,0.1,0.1,0.005,0.005,0.01,1.0285388216720187e-35,0.001879536816533321,1.2861657594460253e-21,0.12420191689828118,1.400793650793651,0.24675324675324678,0.8237734487734488,0.91,7.198863636363637,0.2027517973179247,2.330065075085293,0.1674981904785673
58,59,0.1,0.1,0.005,0.006,0.001,5.130934200034602e-31,1.333659267351111e-06,1.5465693463247553e-20,0.015459180820228211,1.2507936507936508,0.35079365079365077,0.8007936507936508,0.91,7.822222222222222,0.21945874158486345,2.853176700442967,0.1982986224804936
59,60,0.1,0.1,0.005,0.006,0.01,6.762213463232536e-32,0.04127708784929183,1.0603387657991222e-21,0.016755190700207676,1.3841269841269845,0.23968253968253966,0.8119047619047621,0.92,7.294444444444444,0.21728314201575386,2.9869107456482755,0.183528771143552
60,61,0.1,0.1,0.006,0.001,0.001,1.2451187031116623e-26,0.003612584458375918,5.4613579565736515e-18,0.025839782976915443,1.0503759398496242,0.24101921470342522,0.6456975772765247,0.98,9.294736842105262,0.21204269997741088,3.724382489856261,0.16195475124335162
