,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
10,11,0.33,0.33,0.33,0.33,0.66,1.0,1.5,0.006245042365413559,0.18648379052369077,0.05411953874581755,0.1480798004987531,0.6266581477695096,0.6576276563085568,0.44319201995012475,0.4068827930174563,0.4250374064837905,1.0,24.47,0.8009228297006663,0.03874133276875033,0.015292123760736395,12.08549130155659,0.2983066797991362
11,12,0.33,0.33,0.33,0.33,0.66,1.0,2.0,0.002473781003034397,0.20234766618806518,0.0005220810038563035,0.22474117735963123,0.1751898083290525,0.005715733440295196,0.46056575732386207,0.4749238016070933,0.46774477946547766,0.99,26.126262626262626,0.8639083770213033,0.10904899308011577,0.09513593359357864,12.615195149433882,0.2886559645694257
12,13,0.33,0.33,0.33,0.33,0.66,1.25,1.0,3.216750032266826e-05,0.25983022242373865,0.011780404847894912,0.17710773571122698,0.21322650913842753,9.39633396904325e-05,0.5046474722285196,0.2980931509609813,0.40137031159475045,0.99,25.904040404040405,0.6879768552333865,0.09961575207962767,-0.12788416493360377,12.04613957351608,0.23126863439593165
13,14,0.33,0.33,0.33,0.33,0.66,1.25,1.5,7.482254650355287e-05,0.24972921232272854,0.30770896449156987,0.10604801128491902,0.0595158961941845,0.5394728486037339,0.5248494924305398,0.3587999697725383,0.4418247311015391,0.99,27.13131313131313,0.7725584144783073,0.15171296942323254,-0.020664108603251952,12.623248124994657,0.2698636485155173
14,15,0.33,0.33,0.33,0.33,0.66,1.25,2.0,5.642846878905936e-05,0.2514463840399003,0.01608771964444336,0.17102244389027432,0.014489407710753067,0.253386096069777,0.5471820448877805,0.40827930174563587,0.4777306733167082,1.0,28.2,0.8200379268331062,0.1970782829619436,0.03952343150200889,13.115639519291463,0.30060293349747585
15,16,0.33,0.33,0.33,0.33,0.66,1.5,1.0,4.005249428541125e-06,0.283155746996146,0.00021587484836244213,0.23647950829995718,0.013024820673424359,9.258331772443545e-07,0.54505151263256,0.3991032519710823,0.47207738230182117,0.99,28.292929292929294,0.6621390048559361,0.20102309283487507,-0.16063759012056955,13.092331416684098,0.2259917086168955
16,17,0.33,0.33,0.33,0.33,0.66,1.5,1.5,2.1754393035191617e-06,0.28962946169928716,0.39205139651209797,0.09864228318093654,0.002312395570841756,0.13047401947363857,0.6258595934406409,0.27370966523086226,0.4497846293357516,0.99,29.37878787878788,0.7495341489397193,0.24711733863271476,-0.04985088489409733,13.121247113117315,0.24605835210115518
17,18,0.33,0.33,0.33,0.33,0.66,1.5,2.0,2.936397880787536e-07,0.3098314819013073,0.0892321411534714,0.13745938184840928,0.00026788251237194055,0.6166280530523774,0.6423335600392956,0.40837300687674744,0.5253532834580216,0.99,30.545454545454547,0.8023077034265909,0.2966418538852775,0.017047662914065155,13.28895852701717,0.2813898629028481
18,19,0.33,0.33,0.33,0.33,1.0,1.0,1.0,0.009911867049516408,0.18002972367062142,0.0071434777537772425,0.18559661452429532,0.866618205794983,0.0011297970820906753,0.46379001989974555,0.33557520340562724,0.39968261165268637,0.99,23.242424242424242,0.7033617927494359,-0.013368748085309742,-0.10838140473580311,11.48898542266638,0.2520494231355165
19,20,0.33,0.33,0.33,0.33,1.0,1.0,1.5,0.0041461929741913395,0.19436257840247864,0.08484123900315707,0.13856772210886925,0.5505686833947125,0.5185157392443619,0.44036373712184196,0.4242928033451722,0.43232827023350706,0.99,24.681818181818183,0.8062665443471357,0.047732926576942995,0.022066098969075732,12.025111466640297,0.28505010219761134
